City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,adamstown,-25.066,-130.1015,75.51,81,67,8.12,PN,1745425306
1,edinburgh of the seven seas,-37.0676,-12.3116,65.07,87,8,16.98,SH,1745425307
2,hilo,19.7297,-155.09,70.5,85,40,3.0,US,1745425250
3,alo,6.5486,4.2686,85.06,72,97,6.8,NG,1745425309
4,walla walla,46.0646,-118.343,52.86,59,0,8.05,US,1745425310
5,lebu,-37.6167,-73.65,59.65,95,100,4.68,CL,1745425311
6,greenville,35.6127,-77.3663,77.13,75,75,4.61,US,1745425312
7,kingscliff,-28.2667,153.5667,69.6,88,75,12.66,AU,1745425314
8,enewetak,11.3474,162.3373,81.63,74,88,17.25,MH,1745425315
9,toungo,8.1167,12.05,96.42,30,61,4.63,NG,1745425316
10,ilulissat,69.2167,-51.1,24.82,93,75,5.75,GL,1745425318
11,tura,25.5198,90.2201,76.39,83,0,9.15,IN,1745425319
12,puerto natales,-51.7236,-72.4875,50.45,43,100,14.97,CL,1745425320
13,holualoa,19.6228,-155.9522,69.64,77,0,5.75,US,1745425322
14,port-aux-francais,-49.35,70.2167,44.33,88,83,30.13,TF,1745425323
15,acarau,-2.8856,-40.12,82.4,78,81,13.53,BR,1745425324
16,waitangi,-43.9535,-176.5597,53.04,58,15,21.72,NZ,1745425325
17,whitehorse,60.7161,-135.0538,38.17,62,100,8.05,CA,1745425326
18,kruisfontein,-34.0033,24.7314,60.46,95,92,6.73,ZA,1745425327
19,sitka,57.0531,-135.33,46.29,76,100,9.22,US,1745425328
20,viborg,56.4532,9.402,53.65,73,99,6.4,DK,1745425329
21,nagqu,31.5,92.0,36.79,19,32,3.47,CN,1745425331
22,namtsy,62.7161,129.6658,27.03,95,98,5.61,RU,1745425332
23,port alfred,-33.5906,26.891,64.18,94,98,3.0,ZA,1745425333
24,la'ie,21.6477,-157.9253,72.79,90,6,1.99,US,1745425334
25,port elizabeth,-33.918,25.5701,64.69,95,0,11.5,ZA,1745425335
26,bethel,41.3712,-73.414,68.59,34,0,5.01,US,1745425336
27,tshabong,-26.05,22.45,71.56,30,35,11.72,BW,1745425337
28,san clemente del tuyu,-36.3569,-56.7235,69.19,66,91,11.68,AR,1745425338
29,ouesso,1.6136,16.0517,87.94,52,100,5.61,CG,1745425340
30,isafjordur,66.0755,-23.124,41.04,60,0,9.22,IS,1745425341
31,armidale,-30.5167,151.65,51.51,91,100,15.86,AU,1745425342
32,tiksi,71.6872,128.8694,16.34,95,39,6.67,RU,1745425343
33,mo i rana,66.3128,14.1428,37.87,52,20,11.5,NO,1745425345
34,callao,-12.0667,-77.15,68.29,83,75,8.05,PE,1745425346
